feature, score
gender,0.020761750089108393
us_name,0.011977416661097749
uni_rank,0.07191230002955099
degree_score,0.025148733223046782
edu_marketing,0.0
edu_communication,0.008267957959203641
edu_english,0.0
edu_political science,0.0
edu_business management,0.0
edu_psychology,0.0
edu_liberal studies,0.0
edu_communications,0.0
edu_german,0.0
edu_electrical engineering,0.0
edu_electrical engineering and computer science,0.0
edu_computer science,0.003210868492873893
edu_software engineering,0.0
edu_management,0.0
edu_education,0.0
edu_organizational leadership,0.0
edu_business administration,0.0
edu_business administration and management,0.0
edu_business,0.0
edu_media studies,0.0
edu_entrepreneurship,0.0
edu_computer engineering,0.01016996279869447
edu_broadcasting,0.0
edu_human resources,0.0
edu_biochemistry,0.0
edu_accounting,0.0
edu_broadcast journalism,0.0
edu_mathematics,0.0
edu_liberal arts,0.0
edu_history,0.0
edu_art,0.0
edu_data science,0.0
edu_applied physics,0.0
edu_physics,0.0
edu_information systems,0.0
edu_design,0.0
edu_leadership,0.0
edu_international relations,0.0
edu_arabic,0.0
edu_entrepreneurial studies,0.0
edu_computer and information systems,0.0
edu_drawing,0.0
edu_electronics,0.0
edu_nanotechnology,0.0
edu_engineering,0.0
edu_economics,0.0
edu_business marketing,0.0
edu_sport management,0.0
edu_architecture,0.0
edu_accountancy,0.0
edu_french language,0.0
edu_literature,0.0
edu_french language and literature,0.0
edu_english language and literature,0.0
edu_english language,0.0
edu_graphic design,0.0
edu_art history,0.0
edu_anthropology,0.0
edu_politics,0.0
edu_russian,0.0
edu_international studies,0.0
edu_real estate,0.0
edu_finance,0.0
edu_international affairs,0.0
edu_sociology,0.0
edu_teaching,0.0
edu_business economics,0.0
edu_medicine,0.0
edu_biology,0.0
edu_operations management,0.0
edu_mechanical engineering,0.0
edu_religious studies,0.0
edu_computer systems,0.0
edu_ministry,0.0
edu_philosophy,0.0
edu_civil engineering,0.0
edu_rhetoric,0.0
edu_logistics,0.0
edu_electronics engineering,0.0
edu_telecommunications,0.0
edu_network administration,0.0
edu_criminal justice,0.0
edu_law enforcement,0.0
edu_statistics,0.0
edu_materials science,0.0
edu_international business,0.0
edu_latin american studies,0.0
edu_social science,0.0
edu_computer systems engineering,0.0
edu_general business,0.0
edu_product marketing,0.0
edu_spanish,0.0
edu_journalism,0.0
edu_health science,0.0
edu_public health,0.0
edu_theological studies,0.0
edu_theology,0.0
edu_human resources management,0.0
edu_social work,0.0
edu_supply chain management,0.0
edu_chemical engineering,0.0
edu_industrial engineering,0.0
edu_coaching,0.0
edu_fine arts,0.0
edu_applied mathematics,0.0
edu_comparative literature,0.0
edu_aviation,0.0
edu_public relations,0.0
edu_commerce,0.0
edu_theatre,0.0
edu_project management,0.0
edu_computer science and engineering,0.0
edu_piano,0.0
edu_piano performance,0.0
edu_french,0.0
edu_spanish language,0.0
edu_general studies,0.0
edu_corporate finance,0.0
edu_investment banking,0.0
edu_chinese language,0.0
edu_archeology,0.0
edu_classical literature,0.0
edu_european history,0.0
edu_global studies,0.0
edu_public policy,0.0
edu_communication studies,0.0
edu_applied economics,0.0
edu_italian studies,0.0
edu_financial management,0.0
edu_human relations,0.0
edu_information science,0.0
edu_music,0.006474499708287076
edu_public administration,0.0
edu_government,0.0
edu_management science,0.0
edu_film,0.0
edu_corrections,0.0
edu_labor relations,0.0
edu_financial economics,0.0
edu_neuroscience,0.0
edu_premed,0.0
edu_geochemistry,0.0
edu_geology,0.0
edu_legal studies,0.0
edu_environmental science,0.0
edu_industrial relations,0.0
edu_law,0.0
edu_financial engineering,0.0
edu_finance and marketing,0.0
edu_counseling,0.0
edu_fashion,0.0
edu_aerospace engineering,0.0
edu_writing,0.0
